network_size,time,p1-nodes
250,10.3831127399972,0.9
250,9.34849610200035,0.86
250,9.25431740699423,0.864
250,9.84176397400006,0.856
250,10.611195053003,0.792
250,10.5046103799978,0.772
250,11.8553381919992,0.708
250,11.4779480760044,0.784
250,11.4818853000033,0.78
250,12.284376566,0.716
250,12.5582345959992,0.672
250,12.9746677170042,0.672
250,13.7119628410001,0.688
250,13.0374330869963,0.656
250,15.1867581460028,0.68
250,16.460030794995,0.58
250,19.5087361059996,0.64
250,16.6224314319988,0.648
250,19.5888891230061,0.628
250,22.1489742289996,0.516
500,15.0587632180032,0.886
500,15.4689312950068,0.87
500,16.7323001529949,0.88
500,18.5893785309963,0.862
500,25.0252647479938,0.82
500,21.5722965930036,0.86
500,28.5462327069981,0.814
500,26.1626375720007,0.806
500,29.3183954279957,0.78
500,27.8694561119992,0.784
500,26.474789261003,0.796
500,38.2647847679982,0.734
500,35.8651356019982,0.758
500,42.5425012019987,0.748
500,43.9639477559977,0.738
500,49.3919860859969,0.692
500,60.7716555419975,0.648
500,52.4990933200024,0.714
500,107.364416513999,0.584
500,128.066823854002,0.566
750,29.3780940330034,0.890666666666667
750,34.2800563790006,0.858666666666667
750,35.2504545949996,0.889333333333333
750,39.9207367999988,0.829333333333333
750,37.3062393439977,0.890666666666667
750,43.9057254020008,0.870666666666667
750,54.3056315430003,0.801333333333333
750,52.324826363998,0.813333333333333
750,69.6755650319974,0.842666666666667
750,71.4590121630026,0.774666666666667
750,76.0327693400031,0.776
750,63.214093609,0.82
750,87.4118974489975,0.776
750,146.570239342997,0.686666666666667
750,123.057065518995,0.706666666666667
750,118.955698202997,0.721333333333333
750,166.373604792003,0.709333333333333
750,274.595143822,0.693333333333333
750,302.799856743004,0.744
750,370.226451454997,0.608
1000,47.3021738160023,0.904
1000,65.4684166209991,0.902
1000,52.2839197669964,0.891
1000,68.0108570070006,0.88
1000,60.1954562550018,0.874
1000,93.3779023219977,0.842
1000,89.936325663999,0.836
1000,107.621376620002,0.821
1000,157.936866019998,0.854
1000,245.903090204003,0.812
1000,151.136612160997,0.795
1000,126.159881141,0.833
1000,213.677458789003,0.779
1000,205.498858398001,0.798
1000,239.483917316,0.772
1000,398.235215266999,0.687
1000,485.819035861998,0.702
1000,375.462099032004,0.712
1000,633.788019101004,0.665
1000,421.896975206,0.722
1500,112.325064925,0.922
1500,160.054097273,0.896
1500,158.982805951,0.896
1500,169.75772429,0.852666666666667
1500,1998.916954051,0.920666666666667
1500,212.768061508,0.860666666666667
1500,258.20968099,0.849333333333333
1500,330.448087489,0.825333333333333
1500,312.264462236,0.804666666666667
1500,356.284301756,0.819333333333333
1500,412.458484135,0.8
1500,542.82365649,0.774
1500,461.993276031,0.811333333333333
1500,836.115051649,0.716
1500,830.46799236,0.715333333333333
1500,765.167816221,0.752
1500,1066.930160269,0.737333333333333
1500,1433.961717655,0.640666666666667
1500,1753.057724565,0.644666666666667
1500,1536.558494666,0.691333333333333
